Bank information,,,,,,,Mandatory criteria,,,,,,,,,,,,,Additional capabilities (non-mandatory for certification),,,,,,,,,,,,,,,,,,,,,,,,,
BIC of the mother organisation,BIC8 (branch BIC),Name of the mother organisation,Name of BIC8 (Branch Name),Country,Country code,Certification,SCORE,Credit Transfers (MT101),Payments pain.001 ISO 20022 (advanced certification only),Cash Reporting (MT940),MT 942 (advanced certification only),Cash Management camt.053 ISO 20022 (advanced certification only),File Act (RT or S&F),Testing,Onboarding guide,Support,Staff trained,Documentation,Contact email,gpi,,Treasury (MT),,Cash Management (MT),,Trade MT798,,,,Trade FA,Payments (ISO20022),,Cash Management (ISO20022),,,eStatements (PDF),Bank Account Management (ISO20022),CGI-MP guidelines,3SKey,,MyStandards,,TSU / BPO,Staff certified,Hyperlink to bank's webpage
BNPAFRPP,PPABPLPK,BNP-Paribas SA,BNP PARIBAS BANK POLSKA SA,Poland,PL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,GEBAPTPL,BNP-Paribas SA,BNP Paribas Fortis,Portugal,PT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,FTSBDKKK,BNP-Paribas SA,BNP PARIBAS FORTIS DENMARK BRANCH,Denmark,DK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,GEBAATWW,BNP-Paribas SA,BNP Paribas Fortis SA/NV,Austria,AT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,GEBABEBB,BNP-Paribas SA,BNP PARIBAS FORTIS SA/NV,Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,GEBACZPP,BNP-Paribas SA,BNP Paribas Fortis SA/NV,Czech Republic,CZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,GEBADE33,BNP-Paribas SA,BNP Paribas Fortis SA/NV,Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,FTSBROBU,BNP-Paribas SA,BNP Paribas Fortis SA/NV,Romania,RO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,GEBAESMM,BNP-Paribas SA,BNP Paribas Fortis SA/NV,Spain,ES,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,FTSBSESS,BNP-Paribas SA,BNP Paribas Fortis SA/NV,Sweden,SE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,GEBAGB22,BNP-Paribas SA,BNP Paribas Fortis SA/NV,United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAINBB,BNP-Paribas SA,BNP PARIBAS INDIA,India,IN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAIE2D,BNP-Paribas SA,BNP PARIBAS IRELAND - DUBLIN BRANCH,Ireland,IE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPANL2A,BNP-Paribas SA,BNP PARIBAS S.A.,Netherlands,NL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAHUHX,BNP-Paribas SA,"BNP PARIBAS,  HUNGARIA",Hungary,HU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,TEBUTRIS,BNP-Paribas SA,TURK EKONOMI BANKASI A.S,Turkey,TR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAQAQA,BNP-Paribas SA,"BNP Paribas, Doha",Qatar,QA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPARUMM,BNP-Paribas SA,"#BNP PARIBAS BANK"" JSC",Russia,RU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BMCI,Morocco,MA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Martinique,MQ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Reunion,RE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,New Caledonia,NC,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Bulgaria,BG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Norway,NO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Canada,CA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Egypt,EG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Hong Kong,HK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,United Arab Emirates,AE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Saudi Arabia,SA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Kuwait,KW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BNPAFRPP,BNPAFRPP,BNP-Paribas SA,BNP Paribas,Bahrain,BH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,http://entreprises.bnpparibas.fr/nos-solutions/Gestion-des-flux/Realiser-vos-operations-a-distance/Teletransmission/Swiftnet/
BOFAUS6S,BOFABE3X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. ANTWERP",Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAGR2X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. ATHENS",Greece,GR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFATH2X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. BANGKOK",Thailand,TH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAIE3X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. DUBLIN",Ireland,IE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFADEFX,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. FRANKFURT",Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAHKHX,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. HONG KONG",Hong Kong,HK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAPH2X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. MANILA",Philippines,PH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAIT2X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. MILANO",Italy,IT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAFRPP,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. PARIS",France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAKR2X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. SEOUL BRANCH",Korea,KR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFACN3X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. SHANGHAI",China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFASG2X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. SINGAPORE",Singapore,SG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAAUSX,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. SYDNEY",Australia,AU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFATW2X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A. TAIPEI",Taiwan,TW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFACATT,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.,CANADA BRANCH",Canada,CA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAID2X,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.JAKARTA BRANCH",Indonesia,ID,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFACH2X,"BANK OF AMERICA, N.A.",BANK OF AMERICA N.A.,Switzerland,CH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Austria,AT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Czech Republic,CZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Denmark,DK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Finland,FI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Hungary,HU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Luxembourg,LU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Norway,NO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Poland,PL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Portugal,PT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Slovakia,SK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAUS6S,"BANK OF AMERICA, N.A.","BANK OF AMERICA, N.A.",Sweden,SE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAMY2X,"BANK OF AMERICA, N.A.",BANK OF AMERICA MALAYSIA BERHAD,Malaysia,MY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAGB2U,"BANK OF AMERICA, N.A.",BANK OF AMERICA MERILL LYNCH,United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
BOFAUS6S,BOFAES2X,"BANK OF AMERICA, N.A.",BANK OF AMERICA N.A. MADRID,Spain,ES,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,papa.faye@bofa.com,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,http://corp.bankofamerica.com/business/ci/landing/explore-cashpro/cashpro-connect
